File Name,Audio Features,Dialogue_ID,Utterance_ID,Speaker,Emotion,Sentiment,Season,Episode,StartTime,EndTime,Processed_Utterance,Duration,Processed_Utterance_Str
dia0_utt0.mp4,"[-297.01422119140625, 153.53903198242188, -49.038021087646484, 54.69770431518555, -5.274284839630127, 6.434341907501221, -3.856224775314331, -1.160220742225647, 0.11983053386211395, -8.91124153137207, 1.2201708555221558, 3.149867534637451, -3.250997304916382]",0,0,Chandler,neutral,neutral,8,21,"00:16:16,059","00:16:21,731","['also', 'point', 'person', 'transition', 'system']",5.6720000000000255,also point person transition system
dia0_utt1.mp4,"[-305.7720031738281, 137.69033813476562, -23.759618759155273, 50.20268249511719, -2.2724926471710205, 5.584469795227051, -0.9529688954353333, -1.4911088943481445, -14.784052848815918, -3.269899845123291, 0.43434929847717285, -5.730317115783691, 0.4980231523513794]",0,1,The Interviewer,neutral,neutral,8,21,"00:16:21,940","00:16:23,442","['hand', 'full']",1.5019999999999527,hand full
dia0_utt10.mp4,"[-296.2013854980469, 170.54347229003906, -59.917137145996094, 15.5277099609375, -11.920231819152832, -0.7253006100654602, -5.876389026641846, -11.013830184936523, -5.4322662353515625, -11.784235954284668, -7.701741695404053, 3.512674331665039, -3.615133285522461]",0,10,Chandler,fear,negative,8,21,"00:17:02,856","00:17:04,858",['beg'],2.0019999999999527,beg
dia0_utt11.mp4,"[-296.4863586425781, 136.7867431640625, -41.921051025390625, 35.99613571166992, -13.766385078430176, 3.680543899536133, -1.3493572473526, -5.324708938598633, -3.903571605682373, -5.711028099060059, -1.2700275182724, -6.011031150817871, -1.1259971857070923]",0,11,The Interviewer,neutral,neutral,8,21,"00:17:05,025","00:17:13,324","['right', 'definite', 'answer', 'monday', 'think', 'say', 'confidence', 'fit', 'well']",8.298999999999978,right definite answer monday think say confidence fit well
dia0_utt12.mp4,"[-317.79937744140625, 113.78086853027344, -45.4583854675293, 46.26319122314453, -13.191924095153809, 9.60428524017334, 2.8660099506378174, -0.3519819378852844, 1.0269073247909546, -4.151732921600342, -0.7728626132011414, -4.3781256675720215, -1.6291289329528809]",0,12,Chandler,surprise,positive,8,21,"00:17:13,491","00:17:16,536",['really'],3.0450000000000728,really
dia0_utt13.mp4,"[-324.0052185058594, 124.1591796875, -51.545806884765625, 46.862674713134766, -10.204840660095215, 9.207862854003906, 3.6704556941986084, -6.8690266609191895, 1.0367602109909058, -3.272420644760132, 2.6618492603302, -1.0686277151107788, -0.06681349873542786]",0,13,The Interviewer,neutral,neutral,8,21,"00:17:17,579","00:17:20,707","['absolutely', 'relax']",3.1280000000001564,absolutely relax
dia0_utt2.mp4,"[-356.3972473144531, 138.06423950195312, -31.94390106201172, 30.356319427490234, -0.45476001501083374, 6.5514960289001465, -3.7022035121917725, -3.9084739685058594, -5.382741451263428, -9.050376892089844, 2.426661491394043, 4.978307247161865, -0.18159843981266022]",0,2,Chandler,neutral,neutral,8,21,"00:16:23,442","00:16:26,389",[],2.9470000000000027,
dia0_utt3.mp4,"[-333.7912292480469, 131.42893981933594, -39.801658630371094, 52.8267707824707, -7.807255268096924, 8.400840759277344, -4.1037163734436035, -1.8447721004486084, -4.2966532707214355, -7.113267421722412, -7.819441318511963, -4.308279991149902, 0.6560134291648865]",0,3,The Interviewer,neutral,neutral,8,21,"00:16:26,820","00:16:29,572","['talk', 'little', 'bit', 'duty']",2.7519999999999527,talk little bit duty
dia0_utt4.mp4,"[-287.52001953125, 179.46026611328125, -67.1042709350586, 13.095795631408691, -14.5891695022583, -4.519056797027588, -5.828342914581299, -3.98272967338562, -1.5387581586837769, -17.271499633789062, -0.393838495016098, 3.8536665439605713, -5.301030158996582]",0,4,Chandler,surprise,positive,8,21,"00:16:34,452","00:16:40,917","['duty', 'right']",6.465000000000032,duty right
dia0_utt5.mp4,"[-336.4549560546875, 139.67617797851562, -29.223405838012695, 40.15555953979492, -1.7829961776733398, -5.132270336151123, -0.6527639031410217, -9.416874885559082, -7.500494480133057, -4.873744487762451, -3.570366859436035, -7.49160099029541, -4.7593913078308105]",0,5,The Interviewer,neutral,neutral,8,21,"00:16:41,126","00:16:44,337","['heading', 'whole', 'division', 'lot', 'duty']",3.2110000000000127,heading whole division lot duty
dia0_utt6.mp4,"[-306.30419921875, 146.67828369140625, -43.55121994018555, 40.15664291381836, 0.4987352192401886, 3.926706314086914, -4.053257942199707, -9.466056823730469, -9.07883358001709, -9.647488594055176, -2.6253459453582764, -5.998682498931885, -4.824901580810547]",0,6,Chandler,neutral,neutral,8,21,"00:16:48,800","00:16:51,886",['see'],3.0860000000000127,see
dia0_utt7.mp4,"[-308.845947265625, 154.6760711669922, -34.519142150878906, 38.99921417236328, 1.0859556198120117, 4.638242721557617, -3.05452561378479, -5.725400447845459, -6.680535316467285, -7.844675540924072, -4.1465067863464355, -8.494572639465332, -2.2103793621063232]",0,7,The Interviewer,neutral,neutral,8,21,"00:16:48,800","00:16:54,514","['perhaps', '30', 'people', 'dump', 'certain', 'amount']",5.714000000000056,perhaps 30 people dump certain amount
